n_estimators,learning_rate,max_depth,subsample,colsample_bytree,gamma,min_child_weight,mean_loss,mean_mae,mean_mape,execution_time
100,0.01,8,0.7,0.8,0.0,3,282.2730807066589,13.25337149805766,0.15376933764590056,112.21842288970947
100,0.01,8,0.7,0.8,0.0,5,283.8531100465891,13.288190101286116,0.1546261939879473,107.70306777954102
100,0.01,8,0.7,0.8,0.1,1,284.85555326301665,13.299811225438557,0.1539885076270766,72.0042233467102
100,0.01,8,0.7,0.8,0.1,3,285.258680247287,13.324289670396453,0.15434765987973495,69.30877804756165
100,0.01,8,0.7,0.8,0.1,5,288.13942222425067,13.375805160691074,0.15520292928291052,68.56337928771973
100,0.01,8,0.7,0.8,0.3,1,283.0145546883355,13.26136814903143,0.15328977423575826,48.85226655006409
100,0.01,8,0.7,0.8,0.3,3,282.90211155937516,13.259103872541784,0.1532743144581611,47.94026064872742
100,0.01,8,0.7,0.8,0.3,5,282.77802072347794,13.260401570478088,0.1532472150888446,47.18508267402649
100,0.01,8,0.7,1.0,0.0,1,272.48895283145515,13.03393459940115,0.15195138872218417,131.9656150341034
100,0.01,8,0.7,1.0,0.0,3,272.32010694953954,13.04005376141967,0.15241368591144366,121.90316104888916
100,0.01,8,0.7,1.0,0.0,5,274.9422155584094,13.09356651962334,0.15352888691112748,116.47971510887146
100,0.01,8,0.7,1.0,0.1,1,272.4231497324097,13.026799272833191,0.1521934613731814,78.82946991920471
100,0.01,8,0.7,1.0,0.1,3,272.4733153605144,13.03201400719751,0.15239394053475283,76.05973863601685
100,0.01,8,0.7,1.0,0.1,5,273.5059113581421,13.059179815297963,0.15297635189033781,74.96531128883362
100,0.01,8,0.7,1.0,0.3,1,268.546629717947,12.938894264703116,0.15069343188969636,53.819326400756836
100,0.01,8,0.7,1.0,0.3,3,268.5338092874973,12.938481787990106,0.15069123585583513,52.34845590591431
100,0.01,8,0.7,1.0,0.3,5,268.9141756039668,12.944842327068908,0.1507405748286258,51.69302248954773
100,0.01,8,0.8,0.7,0.0,1,288.57537273578544,13.37891663810132,0.1543484774523704,117.68402767181396
100,0.01,8,0.8,0.7,0.0,3,288.816698839605,13.367169341128285,0.1545758181106815,110.24488234519958
100,0.01,8,0.8,0.7,0.0,5,289.29318984528334,13.393180943227387,0.15520726898412363,106.02164959907532
100,0.01,8,0.8,0.7,0.1,1,289.51398073077553,13.436026316226773,0.15552764876624048,71.77540445327759
100,0.01,8,0.8,0.7,0.1,3,289.3252082730364,13.442097163308691,0.15571880444103636,69.87810802459717
100,0.01,8,0.8,0.7,0.1,5,289.41846451153083,13.430165919537476,0.1556424418179529,68.7447829246521
100,0.01,8,0.8,0.7,0.3,1,288.50129618527507,13.426362613283374,0.15515375444644688,49.59056830406189
100,0.01,8,0.8,0.7,0.3,3,288.5220436658434,13.426971684231738,0.15515881780539817,48.85037899017334
100,0.01,8,0.8,0.7,0.3,5,288.05353210020354,13.417897308426719,0.15501667062503482,48.88670492172241
100,0.01,8,0.8,0.8,0.0,1,286.02903187410413,13.366676866846758,0.15462478810988867,122.40764927864075
100,0.01,8,0.8,0.8,0.0,3,286.3667394418793,13.361088302356999,0.15488830828048492,113.99911713600159
100,0.01,8,0.8,0.8,0.0,5,286.85712282268196,13.374703074400696,0.15523094269323479,109.55523562431335
100,0.01,8,0.8,0.8,0.1,1,287.9151617654892,13.423894663435274,0.1553972136719536,74.32029891014099
100,0.01,8,0.8,0.8,0.1,3,288.98865333424976,13.437002654137867,0.15559337344451118,72.344881772995
100,0.01,8,0.8,0.8,0.1,5,288.19846783861726,13.41319508265791,0.15554748769140372,71.39459037780762
100,0.01,8,0.8,0.8,0.3,1,283.3879270208985,13.34671468419033,0.1545183443565465,51.50193119049072
100,0.01,8,0.8,0.8,0.3,3,283.7787833172457,13.355988858818133,0.154602251713234,50.323333501815796
100,0.01,8,0.8,0.8,0.3,5,281.9519307054569,13.316986414270882,0.15422355053898862,49.93248105049133
100,0.01,8,0.8,1.0,0.0,1,273.9342538497247,13.094904040270183,0.15262645717735973,133.47034311294556
100,0.01,8,0.8,1.0,0.0,3,274.464441712832,13.106403772181126,0.15294030706564055,124.68927717208862
100,0.01,8,0.8,1.0,0.0,5,275.14832068083587,13.112040510358938,0.15349771941584534,119.36869525909424
100,0.01,8,0.8,1.0,0.1,1,275.84085394964563,13.152896197783583,0.15352665741253013,81.58103847503662
100,0.01,8,0.8,1.0,0.1,3,275.9488139061951,13.154366093797154,0.15372665724014611,79.61190295219421
100,0.01,8,0.8,1.0,0.1,5,276.9547435169593,13.162093360379906,0.1539438010018004,77.74781584739685
100,0.01,8,0.8,1.0,0.3,1,270.7405477054048,13.018263971868056,0.15174425722884252,56.27283954620361
100,0.01,8,0.8,1.0,0.3,3,270.6979680529803,13.018158535319554,0.15180786302421873,54.90194892883301
100,0.01,8,0.8,1.0,0.3,5,271.2327645160335,13.023272317510763,0.15185283725277854,54.35568189620972
100,0.01,8,1.0,0.7,0.0,1,287.7332934815015,13.350579098522722,0.15393983721534077,120.11061382293701
100,0.01,8,1.0,0.7,0.0,3,289.10875518789794,13.373253293507027,0.15457593306881245,112.68340921401978
100,0.01,8,1.0,0.7,0.0,5,284.3594721392751,13.2746295535601,0.15405011634514607,109.2056622505188
100,0.01,8,1.0,0.7,0.1,1,290.0069798732107,13.418356174421781,0.15509245627087723,75.77106356620789
100,0.01,8,1.0,0.7,0.1,3,290.0944190295048,13.450400799325452,0.15553807955197363,72.84449195861816
100,0.01,8,1.0,0.7,0.1,5,288.4163302099177,13.39974828579555,0.15538556073504406,72.8133819103241
100,0.01,8,1.0,0.7,0.3,1,283.1071455958123,13.313781314761169,0.15381344783360415,53.71416616439819
100,0.01,8,1.0,0.7,0.3,3,283.2188027788629,13.315774470931988,0.15383011856159218,52.581791639328
100,0.01,8,1.0,0.7,0.3,5,284.33551068786574,13.33055383840955,0.1539771705926002,52.1395161151886
100,0.01,8,1.0,0.8,0.0,1,286.58249785903513,13.342169603191547,0.1539462860060459,125.08037281036377
100,0.01,8,1.0,0.8,0.0,3,287.7534743855417,13.357573330335402,0.15438820710962564,116.7112340927124
100,0.01,8,1.0,0.8,0.0,5,285.07266314988124,13.318620795624941,0.1543092462675449,113.25546908378601
100,0.01,8,1.0,0.8,0.1,1,290.9452836240565,13.488501885317751,0.1560115784437081,78.89943051338196
100,0.01,8,1.0,0.8,0.1,3,289.0099832612037,13.400933619082366,0.15517063212798568,76.56281757354736
