fold,subject,loss,mae,mape,CLASSIFICADOR,ARCHITECTURE,RECURRENT_LAYERS,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,combination_id,execution_time
3,2,186.36851258959553,10.8926824972332,0.11252242952309768,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,28,436.0884847640991
4,3,252.86925894503185,12.440421817066905,0.14516472425814686,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,28,436.0884847640991
5,4,209.7503995430289,11.84871999773379,0.12087182391777171,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,28,436.0884847640991
6,5,283.87509135965706,12.800103651673282,0.1490614517744309,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,28,436.0884847640991
7,6,215.7819517133321,10.979698038704788,0.1176052296365191,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,28,436.0884847640991
8,7,264.57759412148243,13.250801953402433,0.18376840053222324,GRU,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,28,436.0884847640991
1,0,482.6754682585108,17.167191395474116,0.15911431286507666,GRU,mixed,"(64, 32)","(32,)",32,0.01,25,relu,adam,29,786.2944283485413
2,1,1029.0695253084793,28.165142345428468,0.3386555717002971,GRU,mixed,"(64, 32)","(32,)",32,0.01,25,relu,adam,29,786.2944283485413
3,2,112.16171218521754,8.120180142740132,0.09392535481030238,GRU,mixed,"(64, 32)","(32,)",32,0.01,25,relu,adam,29,786.2944283485413
4,3,308.89444491675613,12.900215688239491,0.13122655459082824,GRU,mixed,"(64, 32)","(32,)",32,0.01,25,relu,adam,29,786.2944283485413
5,4,237.8097300295072,12.807129253523879,0.1327386817532785,GRU,mixed,"(64, 32)","(32,)",32,0.01,25,relu,adam,29,786.2944283485413
6,5,270.1387273817139,12.596415401719717,0.14727030961691998,GRU,mixed,"(64, 32)","(32,)",32,0.01,25,relu,adam,29,786.2944283485413
7,6,195.52130962131778,10.844714718830737,0.11910458131710003,GRU,mixed,"(64, 32)","(32,)",32,0.01,25,relu,adam,29,786.2944283485413
8,7,237.96861643925862,12.140744191555937,0.14835379253094433,GRU,mixed,"(64, 32)","(32,)",32,0.01,25,relu,adam,29,786.2944283485413
1,0,567.8883519745048,19.13139332371646,0.16833667360395643,GRU,mixed,"(64, 32)","(32,)",32,0.01,25,tanh,adam,30,348.4087116718292
2,1,412.729684860872,17.088847487189554,0.22392157510182514,GRU,mixed,"(64, 32)","(32,)",32,0.01,25,tanh,adam,30,348.4087116718292
